课次,大组主题,小组,序号,单词,词性,释义,认识(打✓),不认识(打✗),备注
第2课,家庭与人际关系,家庭成员,17,husband,n.,丈夫,,,
第2课,家庭与人际关系,家庭成员,18,wife,n.,妻子,,,
第2课,家庭与人际关系,家庭成员,19,relative,n.,亲戚,,,
第2课,家庭与人际关系,家庭成员,20,member,n.,成员,,,
第2课,家庭与人际关系,朋友与人群,1,friend,n.,朋友,,,
第2课,家庭与人际关系,朋友与人群,2,friendship,n.,友谊,,,
第2课,家庭与人际关系,朋友与人群,3,neighbor,n.,邻居,,,
第2课,家庭与人际关系,朋友与人群,4,classmate,n.,同学,,,
第2课,家庭与人际关系,朋友与人群,5,partner,n.,搭档,,,
第2课,家庭与人际关系,朋友与人群,6,teammate,n.,队友,,,
第2课,家庭与人际关系,朋友与人群,7,stranger,n.,陌生人,,,
第2课,家庭与人际关系,朋友与人群,8,guest,n.,客人,,,
第2课,家庭与人际关系,朋友与人群,9,host,n.,主人,,,
第2课,家庭与人际关系,朋友与人群,10,visitor,n.,访客,,,
第2课,家庭与人际关系,朋友与人群,11,customer,n.,顾客,,,
第2课,家庭与人际关系,朋友与人群,12,audience,n.,观众,,,
第2课,家庭与人际关系,朋友与人群,13,crowd,n.,人群,,,
第2课,家庭与人际关系,朋友与人群,14,person,n.,人,,,
第2课,家庭与人际关系,朋友与人群,15,people,n.,人们,,,
第2课,家庭与人际关系,朋友与人群,16,human,n.,人类,,,
第2课,家庭与人际关系,朋友与人群,17,man,n.,男人,,,
第2课,家庭与人际关系,朋友与人群,18,woman,n.,女人,,,
第2课,家庭与人际关系,朋友与人群,19,gentleman,n.,绅士,,,
第2课,家庭与人际关系,朋友与人群,20,lady,n.,女士,,,
第2课,家庭与人际关系,社交动作动词,1,meet,v.,遇见,,,
第2课,家庭与人际关系,社交动作动词,2,greet,v.,打招呼,,,
第2课,家庭与人际关系,社交动作动词,3,introduce,v.,介绍,,,
第2课,家庭与人际关系,社交动作动词,4,invite,v.,邀请,,,
第2课,家庭与人际关系,社交动作动词,5,visit,v.,拜访,,,
第2课,家庭与人际关系,社交动作动词,6,call,v.,打电话,,,
第2课,家庭与人际关系,社交动作动词,7,help,v.,帮助,,,
第2课,家庭与人际关系,社交动作动词,8,share,v.,分享,,,
第2课,家庭与人际关系,社交动作动词,9,support,v.,支持,,,
第2课,家庭与人际关系,社交动作动词,10,trust,v.,信任,,,
第2课,家庭与人际关系,社交动作动词,11,believe,v.,相信,,,
第2课,家庭与人际关系,社交动作动词,12,respect,v.,尊敬,,,
第2课,家庭与人际关系,社交动作动词,13,admire,v.,钦佩,,,
第2课,家庭与人际关系,社交动作动词,14,praise,v.,表扬,,,
第2课,家庭与人际关系,社交动作动词,15,encourage,v.,鼓励,,,
第2课,家庭与人际关系,社交动作动词,16,comfort,v.,安慰,,,
第2课,家庭与人际关系,社交动作动词,17,forgive,v.,原谅,,,
第2课,家庭与人际关系,社交动作动词,18,apologize,v.,道歉,,,
第2课,家庭与人际关系,社交动作动词,19,thank,v.,感谢,,,
第2课,家庭与人际关系,社交动作动词,20,welcome,v.,欢迎,,,
第2课,家庭与人际关系,沟通交流动词,1,talk,v.,交谈,,,
第2课,家庭与人际关系,沟通交流动词,2,say,v.,说,,,
第2课,家庭与人际关系,沟通交流动词,3,tell,v.,告诉,,,
第2课,家庭与人际关系,沟通交流动词,4,reply,v.,回复,,,
第2课,家庭与人际关系,沟通交流动词,5,discuss,v.,讨论,,,
第2课,家庭与人际关系,沟通交流动词,6,argue,v.,争论,,,
第2课,家庭与人际关系,沟通交流动词,7,agree,v.,同意,,,
第2课,家庭与人际关系,沟通交流动词,8,disagree,v.,不同意,,,
第2课,家庭与人际关系,沟通交流动词,9,suggest,v.,建议,,,
第2课,家庭与人际关系,沟通交流动词,10,advise,v.,劝告,,,
第2课,家庭与人际关系,沟通交流动词,11,promise,v.,承诺,,,
第2课,家庭与人际关系,沟通交流动词,12,warn,v.,警告,,,
第2课,家庭与人际关系,沟通交流动词,13,remind,v.,提醒,,,
第2课,家庭与人际关系,沟通交流动词,14,complain,v.,抱怨,,,
第2课,家庭与人际关系,沟通交流动词,15,describe,v.,描述,,,
第2课,家庭与人际关系,沟通交流动词,16,report,v.,报告,,,
第2课,家庭与人际关系,沟通交流动词,17,announce,v.,宣布,,,
第2课,家庭与人际关系,沟通交流动词,18,whisper,v.,耳语,,,
第2课,家庭与人际关系,沟通交流动词,19,communicate,v.,交流,,,
第2课,家庭与人际关系,沟通交流动词,20,express,v.,表达,,,
第2课,家庭与人际关系,关系与沟通名词,1,relationship,n.,关系,,,
第2课,家庭与人际关系,关系与沟通名词,2,communication,n.,交流,,,
第2课,家庭与人际关系,关系与沟通名词,3,conversation,n.,会话,,,
第2课,家庭与人际关系,关系与沟通名词,4,message,n.,消息,,,
第2课,家庭与人际关系,关系与沟通名词,5,information,n.,信息,,,
第2课,家庭与人际关系,关系与沟通名词,6,news,n.,新闻,,,
第2课,家庭与人际关系,关系与沟通名词,7,secret,n.,秘密,,,
第2课,家庭与人际关系,关系与沟通名词,8,problem,n.,问题,,,
第2课,家庭与人际关系,关系与沟通名词,9,trouble,n.,麻烦,,,
第2课,家庭与人际关系,关系与沟通名词,10,difficulty,n.,困难,,,
第2课,家庭与人际关系,关系与沟通名词,11,solution,n.,解决办法,,,
第2课,家庭与人际关系,关系与沟通名词,12,advice,n.,建议,,,
第2课,家庭与人际关系,关系与沟通名词,13,suggestion,n.,提议,,,
第2课,家庭与人际关系,关系与沟通名词,14,opinion,n.,观点,,,
第2课,家庭与人际关系,关系与沟通名词,15,idea,n.,主意,,,
第2课,家庭与人际关系,关系与沟通名词,16,plan,n.,计划,,,
第2课,家庭与人际关系,关系与沟通名词,17,decision,n.,决定,,,
第2课,家庭与人际关系,关系与沟通名词,18,choice,n.,选择,,,
第2课,家庭与人际关系,关系与沟通名词,19,reason,n.,原因,,,
第2课,家庭与人际关系,关系与沟通名词,20,purpose,n.,目的,,,
第3课,饮食与健康,主食与肉类,1,food,n.,食物,,,
第3课,饮食与健康,主食与肉类,2,rice,n.,米饭,,,
第3课,饮食与健康,主食与肉类,3,bread,n.,面包,,,
第3课,饮食与健康,主食与肉类,4,noodle,n.,面条,,,
第3课,饮食与健康,主食与肉类,5,meat,n.,肉,,,
第3课,饮食与健康,主食与肉类,6,chicken,n.,鸡肉,,,
第3课,饮食与健康,主食与肉类,7,beef,n.,牛肉,,,
第3课,饮食与健康,主食与肉类,8,pork,n.,猪肉,,,
第3课,饮食与健康,主食与肉类,9,fish,n.,鱼,,,
第3课,饮食与健康,主食与肉类,10,egg,n.,鸡蛋,,,
第3课,饮食与健康,主食与肉类,11,milk,n.,牛奶,,,
第3课,饮食与健康,主食与肉类,12,cheese,n.,奶酪,,,
第3课,饮食与健康,主食与肉类,13,butter,n.,黄油,,,
第3课,饮食与健康,主食与肉类,14,sugar,n.,糖,,,
第3课,饮食与健康,主食与肉类,15,salt,n.,盐,,,
第3课,饮食与健康,主食与肉类,16,oil,n.,油,,,
第3课,饮食与健康,主食与肉类,17,soup,n.,汤,,,
第3课,饮食与健康,主食与肉类,18,salad,n.,沙拉,,,
第3课,饮食与健康,主食与肉类,19,sandwich,n.,三明治,,,
第3课,饮食与健康,主食与肉类,20,hamburger,n.,汉堡,,,
第3课,饮食与健康,蔬果与饮品,1,fruit,n.,水果,,,
第3课,饮食与健康,蔬果与饮品,2,apple,n.,苹果,,,
第3课,饮食与健康,蔬果与饮品,3,orange,n.,橙子,,,
第3课,饮食与健康,蔬果与饮品,4,banana,n.,香蕉,,,
第3课,饮食与健康,蔬果与饮品,5,grape,n.,葡萄,,,
第3课,饮食与健康,蔬果与饮品,6,pear,n.,梨,,,
第3课,饮食与健康,蔬果与饮品,7,peach,n.,桃子,,,
第3课,饮食与健康,蔬果与饮品,8,watermelon,n.,西瓜,,,
第3课,饮食与健康,蔬果与饮品,9,vegetable,n.,蔬菜,,,
第3课,饮食与健康,蔬果与饮品,10,tomato,n.,番茄,,,
第3课,饮食与健康,蔬果与饮品,11,potato,n.,土豆,,,
第3课,饮食与健康,蔬果与饮品,12,carrot,n.,胡萝卜,,,
第3课,饮食与健康,蔬果与饮品,13,cabbage,n.,卷心菜,,,
第3课,饮食与健康,蔬果与饮品,14,onion,n.,洋葱,,,
第3课,饮食与健康,蔬果与饮品,15,water,n.,水,,,
第3课,饮食与健康,蔬果与饮品,16,juice,n.,果汁,,,
第3课,饮食与健康,蔬果与饮品,17,tea,n.,茶,,,
第3课,饮食与健康,蔬果与饮品,18,coffee,n.,咖啡,,,
第3课,饮食与健康,蔬果与饮品,19,cola,n.,可乐,,,
第3课,饮食与健康,蔬果与饮品,20,yogurt,n.,酸奶,,,
第3课,饮食与健康,味道与用餐,1,taste,v.,品尝,,,
第3课,饮食与健康,味道与用餐,2,delicious,adj.,美味的,,,
第3课,饮食与健康,味道与用餐,3,sweet,adj.,甜的,,,
第3课,饮食与健康,味道与用餐,4,sour,adj.,酸的,,,
第3课,饮食与健康,味道与用餐,5,bitter,adj.,苦的,,,
第3课,饮食与健康,味道与用餐,6,salty,adj.,咸的,,,
第3课,饮食与健康,味道与用餐,7,fresh,adj.,新鲜的,,,
第3课,饮食与健康,味道与用餐,8,smell,v.,闻,,,
第3课,饮食与健康,味道与用餐,9,meal,n.,一餐,,,
第3课,饮食与健康,味道与用餐,10,breakfast,n.,早餐,,,
第3课,饮食与健康,味道与用餐,11,lunch,n.,午餐,,,
第3课,饮食与健康,味道与用餐,12,dinner,n.,晚餐,,,
第3课,饮食与健康,味道与用餐,13,supper,n.,晚饭,,,
第3课,饮食与健康,味道与用餐,14,menu,n.,菜单,,,
第3课,饮食与健康,味道与用餐,15,order,v.,点餐,,,
第3课,饮食与健康,味道与用餐,16,serve,v.,上菜,,,
第3课,饮食与健康,味道与用餐,17,eat,v.,吃,,,
第3课,饮食与健康,味道与用餐,18,drink,v.,喝,,,
第3课,饮食与健康,味道与用餐,19,hungry,adj.,饿的,,,
第3课,饮食与健康,味道与用餐,20,full,adj.,饱的,,,
第3课,饮食与健康,身体与健康,1,body,n.,身体,,,
第3课,饮食与健康,身体与健康,2,head,n.,头,,,
第3课,饮食与健康,身体与健康,3,face,n.,脸,,,
第3课,饮食与健康,身体与健康,4,eye,n.,眼睛,,,
第3课,饮食与健康,身体与健康,5,ear,n.,耳朵,,,
第3课,饮食与健康,身体与健康,6,nose,n.,鼻子,,,
第3课,饮食与健康,身体与健康,7,mouth,n.,嘴,,,
第3课,饮食与健康,身体与健康,8,hand,n.,手,,,
第3课,饮食与健康,身体与健康,9,arm,n.,手臂,,,
第3课,饮食与健康,身体与健康,10,leg,n.,腿,,,
第3课,饮食与健康,身体与健康,11,foot,n.,脚,,,
第3课,饮食与健康,身体与健康,12,heart,n.,心脏,,,
第3课,饮食与健康,身体与健康,13,health,n.,健康,,,
第3课,饮食与健康,身体与健康,14,healthy,adj.,健康的,,,
第3课,饮食与健康,身体与健康,15,sick,adj.,生病的,,,
第3课,饮食与健康,身体与健康,16,ill,adj.,有病的,,,
第3课,饮食与健康,身体与健康,17,illness,n.,疾病,,,
第3课,饮食与健康,身体与健康,18,disease,n.,疾病,,,
第3课,饮食与健康,身体与健康,19,medicine,n.,药,,,
第3课,饮食与健康,身体与健康,20,hospital,n.,医院,,,
第3课,饮食与健康,运动与锻炼,1,sport,n.,运动,,,
第3课,饮食与健康,运动与锻炼,2,exercise,n.,锻炼,,,
第3课,饮食与健康,运动与锻炼,3,game,n.,比赛/游戏,,,
第3课,饮食与健康,运动与锻炼,4,jog,v.,慢跑,,,
第3课,饮食与健康,运动与锻炼,5,race,n.,赛跑,,,
第3课,饮食与健康,运动与锻炼,6,ride,v.,骑行,,,
第3课,饮食与健康,运动与锻炼,7,dive,v.,跳水,,,
第3课,饮食与健康,运动与锻炼,8,skate,v.,滑冰,,,
第3课,饮食与健康,运动与锻炼,9,hike,v.,远足,,,
第3课,饮食与健康,运动与锻炼,10,play,v.,玩/打,,,
第3课,饮食与健康,运动与锻炼,11,ball,n.,球,,,
第3课,饮食与健康,运动与锻炼,12,team,n.,队,,,
第3课,饮食与健康,运动与锻炼,13,win,v.,赢,,,
第3课,饮食与健康,运动与锻炼,14,lose,v.,输,,,
第3课,饮食与健康,运动与锻炼,15,beat,v.,打败,,,
第3课,饮食与健康,运动与锻炼,16,victory,n.,胜利,,,
第3课,饮食与健康,运动与锻炼,17,player,n.,运动员,,,
第3课,饮食与健康,运动与锻炼,18,coach,n.,教练,,,
第3课,饮食与健康,运动与锻炼,19,training,n.,训练,,,
第3课,饮食与健康,运动与锻炼,20,competition,n.,比赛,,,
第4课,旅行与交通,交通工具,1,bus,n.,公交车,,,
第4课,旅行与交通,交通工具,2,car,n.,小汽车,,,
第4课,旅行与交通,交通工具,3,taxi,n.,出租车,,,
第4课,旅行与交通,交通工具,4,train,n.,火车,,,
第4课,旅行与交通,交通工具,5,plane,n.,飞机,,,
第4课,旅行与交通,交通工具,6,ship,n.,轮船,,,
第4课,旅行与交通,交通工具,7,boat,n.,小船,,,
第4课,旅行与交通,交通工具,8,bike,n.,自行车,,,
第4课,旅行与交通,交通工具,9,bicycle,n.,自行车,,,
第4课,旅行与交通,交通工具,10,subway,n.,地铁,,,
第4课,旅行与交通,交通工具,11,truck,n.,卡车,,,
第4课,旅行与交通,交通工具,12,motorcycle,n.,摩托车,,,
第4课,旅行与交通,交通工具,13,helicopter,n.,直升机,,,
第4课,旅行与交通,交通工具,14,rocket,n.,火箭,,,
第4课,旅行与交通,交通工具,15,vehicle,n.,车辆,,,
第4课,旅行与交通,交通工具,16,transport,n.,运输,,,
第4课,旅行与交通,交通工具,17,traffic,n.,交通,,,
第4课,旅行与交通,交通工具,18,ticket,n.,票,,,
第4课,旅行与交通,交通工具,19,station,n.,车站,,,
第4课,旅行与交通,交通工具,20,airport,n.,机场,,,
第4课,旅行与交通,旅行活动,1,travel,v.,旅行,,,
第4课,旅行与交通,旅行活动,2,trip,n.,短途旅行,,,
第4课,旅行与交通,旅行活动,3,journey,n.,旅程,,,
第4课,旅行与交通,旅行活动,4,tour,n.,游览,,,
第4课,旅行与交通,旅行活动,5,tourist,n.,游客,,,
第4课,旅行与交通,旅行活动,6,sightseeing,n.,观光,,,
第4课,旅行与交通,旅行活动,7,vacation,n.,假期,,,
第4课,旅行与交通,旅行活动,8,holiday,n.,假日,,,
第4课,旅行与交通,旅行活动,9,weekend,n.,周末,,,
第4课,旅行与交通,旅行活动,10,camp,n.,营地,,,
第4课,旅行与交通,旅行活动,11,beach,n.,海滩,,,
第4课,旅行与交通,旅行活动,12,mountain,n.,山,,,
第4课,旅行与交通,旅行活动,13,hotel,n.,旅馆,,,
第4课,旅行与交通,旅行活动,14,guide,n.,导游,,,
第4课,旅行与交通,旅行活动,15,luggage,n.,行李,,,
第4课,旅行与交通,旅行活动,16,camera,n.,相机,,,
第4课,旅行与交通,旅行活动,17,souvenir,n.,纪念品,,,
第4课,旅行与交通,旅行活动,18,abroad,adv.,在国外,,,
第4课,旅行与交通,旅行活动,19,adventure,n.,冒险,,,
第4课,旅行与交通,旅行活动,20,explore,v.,探索,,,
第4课,旅行与交通,城市与地点,1,city,n.,城市,,,
第4课,旅行与交通,城市与地点,2,town,n.,城镇,,,
第4课,旅行与交通,城市与地点,3,village,n.,村庄,,,
第4课,旅行与交通,城市与地点,4,country,n.,国家/乡村,,,
第4课,旅行与交通,城市与地点,5,capital,n.,首都,,,
第4课,旅行与交通,城市与地点,6,street,n.,街道,,,
第4课,旅行与交通,城市与地点,7,road,n.,马路,,,
第4课,旅行与交通,城市与地点,8,bridge,n.,桥,,,
第4课,旅行与交通,城市与地点,9,square,n.,广场,,,
第4课,旅行与交通,城市与地点,10,park,n.,公园,,,
第4课,旅行与交通,城市与地点,11,garden,n.,花园,,,
第4课,旅行与交通,城市与地点,12,museum,n.,博物馆,,,
第4课,旅行与交通,城市与地点,13,gallery,n.,美术馆,,,
第4课,旅行与交通,城市与地点,14,theater,n.,剧院,,,
第4课,旅行与交通,城市与地点,15,cinema,n.,电影院,,,
第4课,旅行与交通,城市与地点,16,supermarket,n.,超市,,,
第4课,旅行与交通,城市与地点,17,market,n.,市场,,,
第4课,旅行与交通,城市与地点,18,shop,n.,商店,,,
第4课,旅行与交通,城市与地点,19,store,n.,店铺,,,
第4课,旅行与交通,城市与地点,20,restaurant,n.,餐厅,,,
第4课,旅行与交通,方向与位置,1,north,n.,北方,,,
第4课,旅行与交通,方向与位置,2,south,n.,南方,,,
第4课,旅行与交通,方向与位置,3,east,n.,东方,,,
第4课,旅行与交通,方向与位置,4,west,n.,西方,,,
第4课,旅行与交通,方向与位置,5,left,n.,左边,,,
第4课,旅行与交通,方向与位置,6,right,n.,右边,,,
第4课,旅行与交通,方向与位置,7,front,n.,前面,,,
第4课,旅行与交通,方向与位置,8,back,n.,后面,,,
第4课,旅行与交通,方向与位置,9,top,n.,顶部,,,
第4课,旅行与交通,方向与位置,10,bottom,n.,底部,,,
第4课,旅行与交通,方向与位置,11,middle,n.,中间,,,
第4课,旅行与交通,方向与位置,12,center,n.,中心,,,
第4课,旅行与交通,方向与位置,13,corner,n.,角落,,,
第4课,旅行与交通,方向与位置,14,side,n.,旁边,,,
第4课,旅行与交通,方向与位置,15,between,prep.,在…之间,,,
第4课,旅行与交通,方向与位置,16,beside,prep.,在…旁边,,,
第4课,旅行与交通,方向与位置,17,behind,prep.,在…后面,,,
第4课,旅行与交通,方向与位置,18,near,prep.,在…附近,,,
第4课,旅行与交通,方向与位置,19,far,adv.,远,,,
第4课,旅行与交通,方向与位置,20,opposite,prep.,在…对面,,,
第4课,旅行与交通,天气与气候,1,weather,n.,天气,,,
第4课,旅行与交通,天气与气候,2,sunny,adj.,晴朗的,,,
第4课,旅行与交通,天气与气候,3,rainy,adj.,下雨的,,,
第4课,旅行与交通,天气与气候,4,cloudy,adj.,多云的,,,
第4课,旅行与交通,天气与气候,5,windy,adj.,有风的,,,
第4课,旅行与交通,天气与气候,6,snowy,adj.,下雪的,,,
第4课,旅行与交通,天气与气候,7,foggy,adj.,有雾的,,,
第4课,旅行与交通,天气与气候,8,warm,adj.,温暖的,,,
第4课,旅行与交通,天气与气候,9,hot,adj.,热的,,,
第4课,旅行与交通,天气与气候,10,cool,adj.,凉爽的,,,
第4课,旅行与交通,天气与气候,11,cold,adj.,寒冷的,,,
第4课,旅行与交通,天气与气候,12,dry,adj.,干燥的,,,
第4课,旅行与交通,天气与气候,13,wet,adj.,潮湿的,,,
第4课,旅行与交通,天气与气候,14,season,n.,季节,,,
第4课,旅行与交通,天气与气候,15,spring,n.,春天,,,
第4课,旅行与交通,天气与气候,16,summer,n.,夏天,,,
第4课,旅行与交通,天气与气候,17,autumn,n.,秋天,,,
第4课,旅行与交通,天气与气候,18,winter,n.,冬天,,,
第4课,旅行与交通,天气与气候,19,temperature,n.,温度,,,
第4课,旅行与交通,天气与气候,20,degree,n.,度数,,,
第5课,自然与环境,自然景观,1,nature,n.,自然,,,
第5课,自然与环境,自然景观,2,world,n.,世界,,,
第5课,自然与环境,自然景观,3,earth,n.,地球,,,
第5课,自然与环境,自然景观,4,sky,n.,天空,,,
第5课,自然与环境,自然景观,5,sun,n.,太阳,,,
第5课,自然与环境,自然景观,6,moon,n.,月亮,,,
第5课,自然与环境,自然景观,7,star,n.,星星,,,
第5课,自然与环境,自然景观,8,cloud,n.,云,,,
第5课,自然与环境,自然景观,9,rain,n.,雨,,,
第5课,自然与环境,自然景观,10,snow,n.,雪,,,
第5课,自然与环境,自然景观,11,wind,n.,风,,,
第5课,自然与环境,自然景观,12,storm,n.,暴风雨,,,
第5课,自然与环境,自然景观,13,thunder,n.,雷,,,
第5课,自然与环境,自然景观,14,lightning,n.,闪电,,,
第5课,自然与环境,自然景观,15,river,n.,河流,,,
第5课,自然与环境,自然景观,16,lake,n.,湖泊,,,
