天次,主题,小组,序号,单词,词性,释义,认识(✓),不认识(✗),备注
第2天,家庭与人物,人称与称呼,9,Mrs,n.,夫人,,,
第2天,家庭与人物,人称与称呼,10,Miss,n.,小姐,,,
第3天,食物与饮品,主食与肉类,1,rice,n.,米饭,,,
第3天,食物与饮品,主食与肉类,2,bread,n.,面包,,,
第3天,食物与饮品,主食与肉类,3,noodle,n.,面条,,,
第3天,食物与饮品,主食与肉类,4,cake,n.,蛋糕,,,
第3天,食物与饮品,主食与肉类,5,egg,n.,鸡蛋,,,
第3天,食物与饮品,主食与肉类,6,meat,n.,肉,,,
第3天,食物与饮品,主食与肉类,7,beef,n.,牛肉,,,
第3天,食物与饮品,主食与肉类,8,chicken,n.,鸡肉,,,
第3天,食物与饮品,主食与肉类,9,pork,n.,猪肉,,,
第3天,食物与饮品,主食与肉类,10,dumpling,n.,饺子,,,
第3天,食物与饮品,蔬果,1,apple,n.,苹果,,,
第3天,食物与饮品,蔬果,2,banana,n.,香蕉,,,
第3天,食物与饮品,蔬果,3,orange,n.,橙子,,,
第3天,食物与饮品,蔬果,4,pear,n.,梨,,,
第3天,食物与饮品,蔬果,5,grape,n.,葡萄,,,
第3天,食物与饮品,蔬果,6,watermelon,n.,西瓜,,,
第3天,食物与饮品,蔬果,7,tomato,n.,西红柿,,,
第3天,食物与饮品,蔬果,8,potato,n.,土豆,,,
第3天,食物与饮品,蔬果,9,vegetable,n.,蔬菜,,,
第3天,食物与饮品,蔬果,10,cabbage,n.,卷心菜,,,
第3天,食物与饮品,饮品与甜点,1,water,n.,水,,,
第3天,食物与饮品,饮品与甜点,2,milk,n.,牛奶,,,
第3天,食物与饮品,饮品与甜点,3,juice,n.,果汁,,,
第3天,食物与饮品,饮品与甜点,4,tea,n.,茶,,,
第3天,食物与饮品,饮品与甜点,5,coffee,n.,咖啡,,,
第3天,食物与饮品,饮品与甜点,6,cola,n.,可乐,,,
第3天,食物与饮品,饮品与甜点,7,ice cream,n.,冰淇淋,,,
第3天,食物与饮品,饮品与甜点,8,candy,n.,糖果,,,
第3天,食物与饮品,饮品与甜点,9,cookie,n.,饼干,,,
第3天,食物与饮品,饮品与甜点,10,honey,n.,蜂蜜,,,
第3天,食物与饮品,味道与感觉,1,sweet,adj.,甜的,,,
第3天,食物与饮品,味道与感觉,2,sour,adj.,酸的,,,
第3天,食物与饮品,味道与感觉,3,bitter,adj.,苦的,,,
第3天,食物与饮品,味道与感觉,4,salty,adj.,咸的,,,
第3天,食物与饮品,味道与感觉,5,delicious,adj.,美味的,,,
第3天,食物与饮品,味道与感觉,6,hot,adj.,辣的；热的,,,
第3天,食物与饮品,味道与感觉,7,fresh,adj.,新鲜的,,,
第3天,食物与饮品,味道与感觉,8,hungry,adj.,饿的,,,
第3天,食物与饮品,味道与感觉,9,thirsty,adj.,渴的,,,
第3天,食物与饮品,味道与感觉,10,full,adj.,饱的,,,
第3天,食物与饮品,用餐与餐具,1,breakfast,n.,早餐,,,
第3天,食物与饮品,用餐与餐具,2,lunch,n.,午餐,,,
第3天,食物与饮品,用餐与餐具,3,dinner,n.,晚餐,,,
第3天,食物与饮品,用餐与餐具,4,meal,n.,一餐,,,
第3天,食物与饮品,用餐与餐具,5,bowl,n.,碗,,,
第3天,食物与饮品,用餐与餐具,6,plate,n.,盘子,,,
第3天,食物与饮品,用餐与餐具,7,cup,n.,杯子,,,
第3天,食物与饮品,用餐与餐具,8,glass,n.,玻璃杯,,,
第3天,食物与饮品,用餐与餐具,9,knife,n.,刀,,,
第3天,食物与饮品,用餐与餐具,10,fork,n.,叉子,,,
第3天,食物与饮品,烹饪与食物动作,1,fry,v.,油炸,,,
第3天,食物与饮品,烹饪与食物动作,2,bake,v.,烘烤,,,
第3天,食物与饮品,烹饪与食物动作,3,boil,v.,煮,,,
第3天,食物与饮品,烹饪与食物动作,4,stir,v.,搅拌,,,
第3天,食物与饮品,烹饪与食物动作,5,order,v.,点餐,,,
第3天,食物与饮品,烹饪与食物动作,6,taste,v.,尝,,,
第3天,食物与饮品,烹饪与食物动作,7,smell,v.,闻,,,
第3天,食物与饮品,烹饪与食物动作,8,cut,v.,切,,,
第3天,食物与饮品,烹饪与食物动作,9,wash,v.,洗,,,
第3天,食物与饮品,烹饪与食物动作,10,pour,v.,倒,,,
第4天,数字与时间,数字①(1-20),1,one,num.,一,,,
第4天,数字与时间,数字①(1-20),2,two,num.,二,,,
第4天,数字与时间,数字①(1-20),3,three,num.,三,,,
第4天,数字与时间,数字①(1-20),4,four,num.,四,,,
第4天,数字与时间,数字①(1-20),5,five,num.,五,,,
第4天,数字与时间,数字①(1-20),6,six,num.,六,,,
第4天,数字与时间,数字①(1-20),7,seven,num.,七,,,
第4天,数字与时间,数字①(1-20),8,eight,num.,八,,,
第4天,数字与时间,数字①(1-20),9,nine,num.,九,,,
第4天,数字与时间,数字①(1-20),10,ten,num.,十,,,
第4天,数字与时间,数字②与序数,1,eleven,num.,十一,,,
第4天,数字与时间,数字②与序数,2,twelve,num.,十二,,,
第4天,数字与时间,数字②与序数,3,twenty,num.,二十,,,
第4天,数字与时间,数字②与序数,4,thirty,num.,三十,,,
第4天,数字与时间,数字②与序数,5,hundred,num.,百,,,
第4天,数字与时间,数字②与序数,6,thousand,num.,千,,,
第4天,数字与时间,数字②与序数,7,first,num.,第一,,,
第4天,数字与时间,数字②与序数,8,second,num.,第二,,,
第4天,数字与时间,数字②与序数,9,third,num.,第三,,,
第4天,数字与时间,数字②与序数,10,number,n.,数字,,,
第4天,数字与时间,时间与钟点,1,time,n.,时间,,,
第4天,数字与时间,时间与钟点,2,hour,n.,小时,,,
第4天,数字与时间,时间与钟点,3,minute,n.,分钟,,,
第4天,数字与时间,时间与钟点,4,o'clock,adv.,点钟,,,
第4天,数字与时间,时间与钟点,5,morning,n.,早上,,,
第4天,数字与时间,时间与钟点,6,afternoon,n.,下午,,,
第4天,数字与时间,时间与钟点,7,evening,n.,晚上,,,
第4天,数字与时间,时间与钟点,8,night,n.,夜晚,,,
第4天,数字与时间,时间与钟点,9,noon,n.,中午,,,
第4天,数字与时间,时间与钟点,10,today,n./adv.,今天,,,
第4天,数字与时间,星期,1,Monday,n.,星期一,,,
第4天,数字与时间,星期,2,Tuesday,n.,星期二,,,
第4天,数字与时间,星期,3,Wednesday,n.,星期三,,,
第4天,数字与时间,星期,4,Thursday,n.,星期四,,,
第4天,数字与时间,星期,5,Friday,n.,星期五,,,
第4天,数字与时间,星期,6,Saturday,n.,星期六,,,
第4天,数字与时间,星期,7,Sunday,n.,星期日,,,
第4天,数字与时间,星期,8,week,n.,星期,,,
第4天,数字与时间,星期,9,weekend,n.,周末,,,
第4天,数字与时间,星期,10,weekday,n.,工作日,,,
第4天,数字与时间,月份,1,January,n.,一月,,,
第4天,数字与时间,月份,2,February,n.,二月,,,
第4天,数字与时间,月份,3,March,n.,三月,,,
第4天,数字与时间,月份,4,April,n.,四月,,,
第4天,数字与时间,月份,5,May,n.,五月,,,
第4天,数字与时间,月份,6,June,n.,六月,,,
第4天,数字与时间,月份,7,July,n.,七月,,,
第4天,数字与时间,月份,8,August,n.,八月,,,
第4天,数字与时间,月份,9,September,n.,九月,,,
第4天,数字与时间,月份,10,October,n.,十月,,,
第4天,数字与时间,季节与年份,1,November,n.,十一月,,,
第4天,数字与时间,季节与年份,2,December,n.,十二月,,,
第4天,数字与时间,季节与年份,3,year,n.,年,,,
第4天,数字与时间,季节与年份,4,month,n.,月,,,
第4天,数字与时间,季节与年份,5,season,n.,季节,,,
第4天,数字与时间,季节与年份,6,spring,n.,春天,,,
第4天,数字与时间,季节与年份,7,summer,n.,夏天,,,
第4天,数字与时间,季节与年份,8,autumn,n.,秋天,,,
第4天,数字与时间,季节与年份,9,winter,n.,冬天,,,
第4天,数字与时间,季节与年份,10,date,n.,日期,,,
第5天,颜色与天气,颜色,1,red,adj.,红色的,,,
第5天,颜色与天气,颜色,2,yellow,adj.,黄色的,,,
第5天,颜色与天气,颜色,3,blue,adj.,蓝色的,,,
第5天,颜色与天气,颜色,4,green,adj.,绿色的,,,
第5天,颜色与天气,颜色,5,black,adj.,黑色的,,,
第5天,颜色与天气,颜色,6,white,adj.,白色的,,,
第5天,颜色与天气,颜色,7,gold,adj.,金色的,,,
第5天,颜色与天气,颜色,8,pink,adj.,粉色的,,,
第5天,颜色与天气,颜色,9,brown,adj.,棕色的,,,
第5天,颜色与天气,颜色,10,purple,adj.,紫色的,,,
第5天,颜色与天气,天气,1,weather,n.,天气,,,
第5天,颜色与天气,天气,2,sunny,adj.,晴朗的,,,
第5天,颜色与天气,天气,3,rainy,adj.,下雨的,,,
第5天,颜色与天气,天气,4,cloudy,adj.,多云的,,,
第5天,颜色与天气,天气,5,windy,adj.,有风的,,,
第5天,颜色与天气,天气,6,snowy,adj.,下雪的,,,
第5天,颜色与天气,天气,7,foggy,adj.,有雾的,,,
第5天,颜色与天气,天气,8,warm,adj.,温暖的,,,
第5天,颜色与天气,天气,9,cool,adj.,凉爽的,,,
第5天,颜色与天气,天气,10,cold,adj.,寒冷的,,,
第5天,颜色与天气,自然景物,1,sun,n.,太阳,,,
第5天,颜色与天气,自然景物,2,moon,n.,月亮,,,
第5天,颜色与天气,自然景物,3,star,n.,星星,,,
第5天,颜色与天气,自然景物,4,sky,n.,天空,,,
第5天,颜色与天气,自然景物,5,cloud,n.,云,,,
第5天,颜色与天气,自然景物,6,rain,n./v.,雨；下雨,,,
第5天,颜色与天气,自然景物,7,snow,n./v.,雪；下雪,,,
第5天,颜色与天气,自然景物,8,wind,n.,风,,,
第5天,颜色与天气,自然景物,9,sea,n.,大海,,,
第5天,颜色与天气,自然景物,10,river,n.,河流,,,
第5天,颜色与天气,自然与地理,1,mountain,n.,山,,,
第5天,颜色与天气,自然与地理,2,hill,n.,小山,,,
第5天,颜色与天气,自然与地理,3,tree,n.,树,,,
第5天,颜色与天气,自然与地理,4,flower,n.,花,,,
第5天,颜色与天气,自然与地理,5,grass,n.,草,,,
第5天,颜色与天气,自然与地理,6,stone,n.,石头,,,
第5天,颜色与天气,自然与地理,7,water,n.,水(再次),,,
第5天,颜色与天气,自然与地理,8,island,n.,岛屿,,,
第5天,颜色与天气,自然与地理,9,forest,n.,森林,,,
第5天,颜色与天气,自然与地理,10,lake,n.,湖,,,
第5天,颜色与天气,方向与位置,1,left,n./adj.,左边,,,
第5天,颜色与天气,方向与位置,2,right,n./adj.,右边,,,
第5天,颜色与天气,方向与位置,3,up,adv.,向上,,,
第5天,颜色与天气,方向与位置,4,down,adv.,向下,,,
第5天,颜色与天气,方向与位置,5,here,adv.,这里,,,
第5天,颜色与天气,方向与位置,6,there,adv.,那里,,,
第5天,颜色与天气,方向与位置,7,near,prep.,在…附近,,,
第5天,颜色与天气,方向与位置,8,far,adv.,远,,,
第5天,颜色与天气,方向与位置,9,inside,adv.,里面,,,
第5天,颜色与天气,方向与位置,10,outside,adv.,外面,,,
第5天,颜色与天气,动物,1,cat,n.,猫,,,
第5天,颜色与天气,动物,2,dog,n.,狗,,,
第5天,颜色与天气,动物,3,bird,n.,鸟,,,
第5天,颜色与天气,动物,4,fish,n.,鱼,,,
第5天,颜色与天气,动物,5,horse,n.,马,,,
第5天,颜色与天气,动物,6,cow,n.,奶牛,,,
第5天,颜色与天气,动物,7,pig,n.,猪,,,
第5天,颜色与天气,动物,8,sheep,n.,羊,,,
第5天,颜色与天气,动物,9,monkey,n.,猴子,,,
第5天,颜色与天气,动物,10,elephant,n.,大象,,,
第6天,交通与出行,交通工具,1,bus,n.,公共汽车,,,
第6天,交通与出行,交通工具,2,car,n.,小汽车,,,
第6天,交通与出行,交通工具,3,bike,n.,自行车,,,
第6天,交通与出行,交通工具,4,train,n.,火车,,,
第6天,交通与出行,交通工具,5,plane,n.,飞机,,,
第6天,交通与出行,交通工具,6,ship,n.,轮船,,,
第6天,交通与出行,交通工具,7,taxi,n.,出租车,,,
第6天,交通与出行,交通工具,8,subway,n.,地铁,,,
第6天,交通与出行,交通工具,9,boat,n.,小船,,,
第6天,交通与出行,交通工具,10,motorbike,n.,摩托车,,,
第6天,交通与出行,出行动作,1,go,v.,去,,,
第6天,交通与出行,出行动作,2,come,v.,来,,,
第6天,交通与出行,出行动作,3,arrive,v.,到达,,,
第6天,交通与出行,出行动作,4,leave,v.,离开,,,
第6天,交通与出行,出行动作,5,travel,v.,旅行,,,
第6天,交通与出行,出行动作,6,ride,v.,骑,,,
第6天,交通与出行,出行动作,7,drive,v.,驾驶,,,
第6天,交通与出行,出行动作,8,stop,v.,停止,,,
第6天,交通与出行,出行动作,9,wait,v.,等待,,,
第6天,交通与出行,出行动作,10,cross,v.,穿过,,,
第6天,交通与出行,地点与建筑①,1,park,n.,公园,,,
第6天,交通与出行,地点与建筑①,2,zoo,n.,动物园,,,
第6天,交通与出行,地点与建筑①,3,shop,n.,商店,,,
第6天,交通与出行,地点与建筑①,4,store,n.,商店,,,
第6天,交通与出行,地点与建筑①,5,hospital,n.,医院,,,
第6天,交通与出行,地点与建筑①,6,station,n.,车站,,,
第6天,交通与出行,地点与建筑①,7,airport,n.,机场,,,
第6天,交通与出行,地点与建筑①,8,hotel,n.,旅馆,,,
第6天,交通与出行,地点与建筑①,9,restaurant,n.,餐厅,,,
第6天,交通与出行,地点与建筑①,10,bank,n.,银行,,,
第6天,交通与出行,地点与建筑②,1,post office,n.,邮局,,,
第6天,交通与出行,地点与建筑②,2,museum,n.,博物馆,,,
第6天,交通与出行,地点与建筑②,3,cinema,n.,电影院,,,
第6天,交通与出行,地点与建筑②,4,theatre,n.,剧院,,,
第6天,交通与出行,地点与建筑②,5,street,n.,街道,,,
第6天,交通与出行,地点与建筑②,6,road,n.,路,,,
第6天,交通与出行,地点与建筑②,7,bridge,n.,桥,,,
第6天,交通与出行,地点与建筑②,8,farm,n.,农场,,,
第6天,交通与出行,地点与建筑②,9,market,n.,市场,,,
第6天,交通与出行,地点与建筑②,10,supermarket,n.,超市,,,
第6天,交通与出行,旅行,1,trip,n.,旅行,,,
第6天,交通与出行,旅行,2,tour,n.,旅游,,,
第6天,交通与出行,旅行,3,visit,v.,参观；拜访,,,
第6天,交通与出行,旅行,4,map,n.,地图,,,
第6天,交通与出行,旅行,5,ticket,n.,票,,,
第6天,交通与出行,旅行,6,luggage,n.,行李,,,
第6天,交通与出行,旅行,7,camera,n.,相机,,,
第6天,交通与出行,旅行,8,photo,n.,照片,,,
第6天,交通与出行,旅行,9,guide,n.,导游,,,
第6天,交通与出行,旅行,10,holiday,n.,假日,,,
第6天,交通与出行,城市,1,city,n.,城市,,,
第6天,交通与出行,城市,2,town,n.,城镇,,,
第6天,交通与出行,城市,3,village,n.,村庄,,,
第6天,交通与出行,城市,4,country,n.,国家；乡村,,,
第6天,交通与出行,城市,5,capital,n.,首都,,,
第6天,交通与出行,城市,6,home,n.,家,,,
第6天,交通与出行,城市,7,room,n.,房间,,,
第6天,交通与出行,城市,8,door,n.,门,,,
第6天,交通与出行,城市,9,window,n.,窗户,,,
第6天,交通与出行,城市,10,wall,n.,墙,,,
第7天,衣物与购物,衣物①,1,shirt,n.,衬衫,,,
第7天,衣物与购物,衣物①,2,T-shirt,n.,T恤,,,
第7天,衣物与购物,衣物①,3,coat,n.,外套,,,
第7天,衣物与购物,衣物①,4,jacket,n.,夹克,,,
第7天,衣物与购物,衣物①,5,sweater,n.,毛衣,,,
第7天,衣物与购物,衣物①,6,dress,n.,连衣裙,,,
第7天,衣物与购物,衣物①,7,skirt,n.,短裙,,,
第7天,衣物与购物,衣物①,8,trousers,n.,裤子,,,
第7天,衣物与购物,衣物①,9,shorts,n.,短裤,,,
第7天,衣物与购物,衣物①,10,jeans,n.,牛仔裤,,,
第7天,衣物与购物,衣物②与鞋帽,1,shoe,n.,鞋,,,
第7天,衣物与购物,衣物②与鞋帽,2,sock,n.,袜子,,,
第7天,衣物与购物,衣物②与鞋帽,3,cap,n.,便帽,,,
第7天,衣物与购物,衣物②与鞋帽,4,hat,n.,帽子,,,
第7天,衣物与购物,衣物②与鞋帽,5,glove,n.,手套,,,
第7天,衣物与购物,衣物②与鞋帽,6,scarf,n.,围巾,,,
第7天,衣物与购物,衣物②与鞋帽,7,uniform,n.,校服,,,
第7天,衣物与购物,衣物②与鞋帽,8,clothes,n.,衣服,,,
第7天,衣物与购物,衣物②与鞋帽,9,pocket,n.,口袋,,,
第7天,衣物与购物,衣物②与鞋帽,10,button,n.,纽扣,,,
第7天,衣物与购物,购物,1,buy,v.,买(再次),,,
第7天,衣物与购物,购物,2,sell,v.,卖(再次),,,
第7天,衣物与购物,购物,3,pay,v.,付钱,,,
第7天,衣物与购物,购物,4,spend,v.,花费,,,
第7天,衣物与购物,购物,5,cost,v.,花费,,,
第7天,衣物与购物,购物,6,price,n.,价格,,,
第7天,衣物与购物,购物,7,money,n.,钱,,,
第7天,衣物与购物,购物,8,change,n.,零钱,,,
第7天,衣物与购物,购物,9,cheap,adj.,便宜的,,,
第7天,衣物与购物,购物,10,expensive,adj.,昂贵的,,,
第7天,衣物与购物,购物用语,1,shop assistant,n.,售货员,,,
第7天,衣物与购物,购物用语,2,customer,n.,顾客,,,
第7天,衣物与购物,购物用语,3,size,n.,尺码,,,
第7天,衣物与购物,购物用语,4,colour,n.,颜色,,,
第7天,衣物与购物,购物用语,5,try on,v.,试穿,,,
第7天,衣物与购物,购物用语,6,on sale,phr.,打折,,,
第7天,衣物与购物,购物用语,7,sale,n.,出售,,,
第7天,衣物与购物,购物用语,8,wallet,n.,钱包,,,
第7天,衣物与购物,购物用语,9,shopping,n.,购物,,,
第7天,衣物与购物,购物用语,10,basket,n.,篮子,,,
第7天,衣物与购物,物品与杂物,1,toy,n.,玩具,,,
第7天,衣物与购物,物品与杂物,2,ball,n.,球,,,
第7天,衣物与购物,物品与杂物,3,doll,n.,洋娃娃,,,
第7天,衣物与购物,物品与杂物,4,kite,n.,风筝,,,
第7天,衣物与购物,物品与杂物,5,ring,n.,戒指,,,
第7天,衣物与购物,物品与杂物,6,clock,n.,钟,,,
第7天,衣物与购物,物品与杂物,7,phone,n.,电话,,,
第7天,衣物与购物,物品与杂物,8,mobile phone,n.,手机,,,
第7天,衣物与购物,物品与杂物,9,umbrella,n.,雨伞,,,
第7天,衣物与购物,物品与杂物,10,key,n.,钥匙,,,
第7天,衣物与购物,材质与描述,1,new,adj.,新的,,,
第7天,衣物与购物,材质与描述,2,old,adj.,旧的,,,
第7天,衣物与购物,材质与描述,3,big,adj.,大的,,,
第7天,衣物与购物,材质与描述,4,small,adj.,小的,,,
第7天,衣物与购物,材质与描述,5,long,adj.,长的,,,
第7天,衣物与购物,材质与描述,6,short,adj.,短的,,,
第7天,衣物与购物,材质与描述,7,tall,adj.,高的,,,
第7天,衣物与购物,材质与描述,8,fat,adj.,胖的,,,
第7天,衣物与购物,材质与描述,9,thin,adj.,瘦的,,,
第7天,衣物与购物,材质与描述,10,beautiful,adj.,美丽的,,,
第8天,动作与状态,情绪情感,1,happy,adj.,开心的,,,
第8天,动作与状态,情绪情感,2,sad,adj.,难过的,,,
第8天,动作与状态,情绪情感,3,angry,adj.,生气的,,,
第8天,动作与状态,情绪情感,4,afraid,adj.,害怕的,,,
第8天,动作与状态,情绪情感,5,excited,adj.,兴奋的,,,
第8天,动作与状态,情绪情感,6,tired,adj.,累的,,,
第8天,动作与状态,情绪情感,7,bored,adj.,无聊的,,,
第8天,动作与状态,情绪情感,8,surprised,adj.,惊讶的,,,
第8天,动作与状态,情绪情感,9,love,v.,爱,,,
第8天,动作与状态,情绪情感,10,like,v.,喜欢,,,
第8天,动作与状态,能力与意愿,1,can,modal v.,能,,,
第8天,动作与状态,能力与意愿,2,could,modal v.,可以(过去式),,,
第8天,动作与状态,能力与意愿,3,must,modal v.,必须,,,
第8天,动作与状态,能力与意愿,4,should,modal v.,应该,,,
第8天,动作与状态,能力与意愿,5,want,v.,想要,,,
第8天,动作与状态,能力与意愿,6,need,v.,需要,,,
第8天,动作与状态,能力与意愿,7,hope,v.,希望,,,
第8天,动作与状态,能力与意愿,8,know,v.,知道,,,
第8天,动作与状态,能力与意愿,9,think,v.,认为,,,
第8天,动作与状态,能力与意愿,10,believe,v.,相信,,,
第8天,动作与状态,动作③,1,get,v.,得到,,,
第8天,动作与状态,动作③,2,find,v.,找到,,,
第8天,动作与状态,动作③,3,lose,v.,丢失,,,
第8天,动作与状态,动作③,4,bring,v.,带来,,,
第8天,动作与状态,动作③,5,carry,v.,搬运,,,
